account_id,customer_id,account_type,account_status,open_date,current_balance,currency,credit_limit
b25182a5-bb1b-4847-a345-512d41d922af,b8ea558f-1a1e-445a-bf58-abbd31453f8d,Loan,Active,2022-02-22,52011.38,ZAR,37015.34
675a59a6-e12f-4c39-a85a-f6d5cf0910cd,8a83efc8-9c2e-4562-8916-e844e64ddd91,Loan,Active,2022-12-31,239.7,EUR,28318.57
f401c57b-81aa-45be-b41b-fee4a67b55ad,74151acc-f5a3-4893-bf7a-27482cbb93c2,Savings,Active,2018-04-29,5590.67,BRL,45416.31
dbaace83-df43-430b-a6a4-ecaef7931ca6,9b4e4d66-7327-45ae-9fdc-09fa9d19b58d,Savings,Active,2017-06-11,67555.08,GBP,38039.87
2c2d8973-d1c6-42d9-86ae-610bf273c3c7,3f6ba764-3784-4de3-82f6-d134eddba865,Savings,Dormant,2022-06-11,95548.45,CNY,49329.95
a2683d95-22a3-41e9-b279-7d00c84bb8f5,e1ef19e7-0534-44ff-a48d-be36cdafb63d,Credit Card,Dormant,2023-04-07,21059.2,EUR,36126.25
026227b3-ec77-4dba-aee2-5e14897ea2f8,376acba9-139c-47c9-91bf-d715febe8ad0,Savings,Closed,2023-03-07,834.53,BRL,22573.22
b5778fa7-c4bf-4343-8f07-f1d556cd2715,b3b68b57-da54-4267-9d13-8266d26d5396,Loan,Active,2016-07-13,77567.04,EUR,3638.81
d46d7d93-2b2e-4fc6-8545-06b581087dde,dbafeb63-375b-4ffa-a1a3-c32f4087f8b3,Savings,Dormant,2020-01-27,75064.62,EUR,44209.89
26c22d08-767c-48dc-be4c-960cf6bfeb5d,8bc3abe1-634b-4a19-af5d-e779b28ac976,Loan,Dormant,2019-04-01,52413.41,EUR,24812.5
98fb339c-f2ef-4d45-b18e-bb7cc2519fc6,5199fe84-ccaf-43a8-901f-b76dbfa40333,Credit Card,Closed,2024-05-17,87022.84,JPY,22461.51
e2f72cc3-fe69-4d79-b345-c122aa944761,2ad6c89f-5ce3-4a87-bc12-4d36f2ca637f,Credit Card,Dormant,2016-11-17,67097.71,ZAR,46526.22
590ce74b-2701-443f-a2d4-99e622e2deda,b7195884-6921-454d-966f-baf3652a6019,Credit Card,Closed,2015-04-03,1525.8,CNY,42115.87
48d8be7e-34c5-4add-9f98-e1c919c40234,4e77987c-8fa2-4d17-a202-8f89f17b748e,Loan,Dormant,2024-07-11,40376.38,CNY,37097.15
75492ea4-185b-425a-a574-8f3b02f5d901,f4465877-8df2-453c-a0a5-ef3ce0b5e9e0,Savings,Active,2016-02-11,47784.59,CNY,47579.67
a80c3057-712a-4a38-b337-fae4095ba215,1af459df-b60b-4aff-9fea-730f0483bea6,Savings,Active,2019-06-20,86952.14,CAD,13898.7
f0f866b8-d0d8-4323-9cb7-9c582ab61432,0acf7827-e5d7-40e9-af0d-15cce38c013a,Savings,Closed,2020-04-30,85490.33,AUD,33237.55
2c00542b-0759-4a03-b476-e2fc41c67b45,c4fc4cd0-a78d-4e08-bc43-58e55041b3d0,Loan,Active,2021-05-09,43458.89,CNY,9592.77
1d7c19d5-d829-4f85-9fa1-b11ccd735e2b,034d0553-1493-4221-9ca6-d37dca9abdfa,Checking,Closed,2018-09-07,3919.51,AUD,36993.52
93344c19-04ec-45ec-b1c7-4bd80219c34e,08302ee6-9a9c-4d73-b173-d2fe2d5b029b,Checking,Closed,2022-05-10,13820.47,EUR,28365.72
da4a3cf5-dd4e-47b6-97a5-323afb37cab4,2fa0e8b1-1539-4133-99a7-7bc7fa024298,Credit Card,Dormant,2014-09-24,10077.09,EUR,19145.0
ec6489ea-4f84-4ca4-8efa-c51662198e52,0c33ceda-a40c-4ab3-9fc7-53aa1d0f64d2,Credit Card,Closed,2019-02-23,89104.53,CAD,10556.68
318e16b6-b33f-42d7-86fd-2f641375497f,a1ba4586-e54d-47a1-8260-845744ab05ee,Loan,Closed,2018-10-20,28769.27,ZAR,7446.91
6a433e07-6d71-41ee-a30f-741995d30035,f0230dce-f110-4201-b467-16fbb5da68d4,Checking,Closed,2023-07-20,90406.14,CNY,47051.92
e0471414-2ebd-4630-a4b6-678a994ae83b,7ad8ae0b-5048-485a-8544-b042c9e63583,Savings,Closed,2020-03-03,26644.45,GBP,39727.25
e4981274-16a5-4b55-99b9-439cd9c7e505,e480a296-3767-4f58-95cb-195c9c190ff3,Savings,Dormant,2016-10-22,98708.78,USD,17133.6
a8915ced-72a5-4409-9042-7543fcf747b5,ccc6315b-4a97-476d-9ce5-adf75264c9a6,Checking,Dormant,2023-04-18,1250.66,EUR,9836.26
8791e363-4150-4b45-a6bd-6d86df880b08,5b0f8a16-148c-4bd2-84bd-2f21b0a2cbeb,Savings,Dormant,2021-08-25,92625.6,JPY,29664.97
6d0152ba-7feb-474c-a078-1c7898f4006c,914ca75a-b3cd-4e52-aaf6-80271ee29ac7,Checking,Dormant,2022-07-19,60841.71,JPY,15198.42
